,name,repo,owner,link
111,awesome-visual-representation-learning-with-transformers,awesome-visual-representation-learning-with-transformers,alohays,"https://github.com/alohays/awesome-visual-representation-learning-with-transformers.git
"
112,awesome-technical-writing,awesome-technical-writing,BolajiAyodeji,"https://github.com/BolajiAyodeji/awesome-technical-writing.git
"
113,awesome-lumen,awesome-lumen,unicodeveloper,"https://github.com/unicodeveloper/awesome-lumen.git
"
114,Awesome-Clean-Code-Resources,Awesome-Clean-Code-Resources,abiodunjames,"https://github.com/abiodunjames/Awesome-Clean-Code-Resources.git
"
115,awesome-pretrained-chinese-nlp-models,awesome-pretrained-chinese-nlp-models,lonePatient,"https://github.com/lonePatient/awesome-pretrained-chinese-nlp-models.git
"
116,artificial-intelligence,artificial-intelligence,yanshengjia,"https://github.com/yanshengjia/artificial-intelligence.git
"
117,awesome-micro-frontends,awesome-micro-frontends,rajasegar,"https://github.com/rajasegar/awesome-micro-frontends.git
"
118,awesome-pytorch,awesome-pytorch,rickiepark,"https://github.com/rickiepark/awesome-pytorch.git
"
119,Awesome-Law-NLP-Research-Work,Awesome-Law-NLP-Research-Work,bamtercelboo,"https://github.com/bamtercelboo/Awesome-Law-NLP-Research-Work.git
"
120,awesome-adversarial-deep-learning,awesome-adversarial-deep-learning,nebula-beta,"https://github.com/nebula-beta/awesome-adversarial-deep-learning.git
"
121,awesome-datascience,awesome-datascience,academic,"https://github.com/academic/awesome-datascience.git
"
122,awesome-machine-learning,awesome-machine-learning,RatulGhosh,"https://github.com/RatulGhosh/awesome-machine-learning.git
"
123,Awesome-Deep-Learning-Papers-for-Search-Recommendation-Advertising,Awesome-Deep-Learning-Papers-for-Search-Recommendation-Advertising,guyulongcs,"https://github.com/guyulongcs/Awesome-Deep-Learning-Papers-for-Search-Recommendation-Advertising.git
"
124,awesome-python,awesome-python,uhub,"https://github.com/uhub/awesome-python.git
"
125,awesome-panel,awesome-panel,MarcSkovMadsen,"https://github.com/MarcSkovMadsen/awesome-panel.git
"
126,birdy,birdy,inueni,"https://github.com/inueni/birdy.git
"
127,game-datasets,game-datasets,leomaurodesenv,"https://github.com/leomaurodesenv/game-datasets.git
"
128,awesome-hyperparams,awesome-hyperparams,pemami4911,"https://github.com/pemami4911/awesome-hyperparams.git
"
129,authorizesauce,authorizesauce,drewisme,"https://github.com/drewisme/authorizesauce.git
"
